,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
64,Palau,inner,2.722143943,2.66665097,0.001509342,0,134.53004,7.32626,11,305,,134.53004
65,Palau,inner,3.15650168,3.099499365,0,0,134.53004,7.32626,11,204,,134.53004
85,Palau,patch,7.71292458,7.662757616,0.006627147,0.000208205,134.54753,7.64626,15,221,,134.54753
86,Palau,patch,10.91888928,10.86876607,0.006837493,4.16E-05,134.54753,7.64626,15,477,,134.54753
87,Palau,patch,12.60363215,12.55220034,0.005570503,0,134.54753,7.64626,15,529,,134.54753
88,Palau,patch,15.18555786,15.12971549,0.00115994,0,134.54753,7.64626,15,560,,134.54753
89,Palau,patch,16.02642198,15.96941966,0,0,134.54753,7.64626,15,477,,134.54753
90,Palau,patch,22.31237806,22.26765386,0.012278115,0,134.54753,7.64626,15,747,,134.54753
2,Palau,outer,2.476218864,2.421304712,0.00130969,0.000778472,134.5675,7.76951,1,80,,134.5675
6,Palau,outer,2.736500012,2.693057711,0.012892077,0.000667937,134.5675,7.76951,1,106,,134.5675
5,Palau,outer,3.272930378,3.23576701,0.019409166,0.000429781,134.5675,7.76951,1,121,,134.5675
4,Palau,outer,4.113509155,4.060850077,0.002603271,0.001739966,134.5675,7.76951,1,150,,134.5675
3,Palau,outer,4.946478745,5.042221084,0.152350117,0.000394537,134.5675,7.76951,1,141,,134.5675
1,Palau,outer,7.586564356,7.52976176,0,0.000199719,134.5675,7.76951,1,258,,134.5675
24,Palau,outer,0.627945285,0.57149775,0,0.00055478,134.5753,7.31716,4,21,,134.5753
20,Palau,outer,0.732494922,0.675492608,0,0,134.5753,7.31716,4,17,,134.5753
22,Palau,outer,1.055641816,1.025408013,0.026477087,0.000291425,134.5753,7.31716,4,50,,134.5753
19,Palau,outer,1.475390541,1.418388226,0,0,134.5753,7.31716,4,51,,134.5753
21,Palau,outer,1.87999798,1.823236349,0,0.000240684,134.5753,7.31716,4,57,,134.5753
23,Palau,outer,3.555917416,3.510366322,0.011451221,0,134.5753,7.31716,4,132,,134.5753
11,Palau,outer,9.233513557,9.179305057,0.002793815,0,134.57701,7.77253,2,425,,134.57701
